,Version,Owner_type,Year,Mileage,Price,Phone,Argus,Area,Benefit Buyer
0,INTENS,pro,2015,55000.0,7490.0,,11656.0,IDF,4166.0
1,ZEN,private,2018,5700.0,16700.0,,,IDF,
2,ZEN,pro,2015,9782.0,6990.0,0164572000,11656.0,IDF,4666.0
3,LIFE,pro,2015,34284.0,9490.0,0164767445,11656.0,IDF,2166.0
4,ZEN,pro,2014,19738.0,5990.0,0164572000,9768.0,IDF,3778.0
5,LIFE,pro,2014,34764.0,7190.0,0164572000,9768.0,IDF,2578.0
6,INTENS,pro,2014,17048.0,8980.0,0149856970,9768.0,IDF,788.0
7,LIFE,pro,2015,37449.0,7440.0,0149856970,11656.0,IDF,4216.0
8,LIFE,pro,2014,18624.0,8450.0,0149856970,9768.0,IDF,1318.0
9,ZEN,pro,2016,6787.0,11740.0,0149856970,12652.0,IDF,912.0
10,LIFE,pro,2015,21749.0,8440.0,0149856970,11656.0,IDF,3216.0
11,ZEN,pro,2014,37633.0,6990.0,0164572000,9768.0,IDF,2778.0
12,ZEN,pro,2014,35246.0,7090.0,0164572000,9768.0,IDF,2678.0
13,LIFE,pro,2014,13611.0,8900.0,0175909581,9768.0,IDF,868.0
14,ZEN,pro,2014,44674.0,6990.0,0164572000,9768.0,IDF,2778.0
15,INTENS,pro,2014,59099.0,8500.0,0185500387,9768.0,IDF,1268.0
16,ZEN,pro,2014,39699.0,6990.0,0164572000,9768.0,IDF,2778.0
17,ZEN,pro,2014,31486.0,7190.0,0164572000,9768.0,IDF,2578.0
18,INTENS,pro,2016,12541.0,10490.0,0175909581,12652.0,IDF,2162.0
19,ZEN,pro,2014,25407.0,7190.0,0164572000,9768.0,IDF,2578.0
20,LIFE,private,2016,27000.0,9400.0,,12652.0,IDF,3252.0
21,ZEN,pro,2014,31052.0,7190.0,0164572000,9768.0,IDF,2578.0
22,ZEN,pro,2017,18754.0,15900.0,0677372750,13611.0,IDF,-2289.0
23,ZEN,pro,2014,46500.0,6990.0,0164572000,9768.0,IDF,2778.0
24,LIFE,pro,2015,39242.0,8700.0,0677372750,11656.0,IDF,2956.0
25,,private,2016,16000.0,11000.0,,12652.0,IDF,1652.0
26,INTENS,pro,2014,45000.0,7690.0,,9768.0,IDF,2078.0
27,LIFE,pro,2015,40164.0,8200.0,0146675680,11656.0,IDF,3456.0
28,ZEN,pro,2014,39990.0,7190.0,0164572000,9768.0,IDF,2578.0
29,LIFE,pro,2014,36850.0,7990.0,,9768.0,IDF,1778.0
30,LIFE,pro,2016,16621.0,9970.0,0805805802,12652.0,IDF,2682.0
31,ZEN,pro,2014,47620.0,6990.0,0164572000,9768.0,IDF,2778.0
32,INTENS,pro,2014,35251.0,8900.0,0176420120,9768.0,IDF,868.0
33,ZEN,pro,2015,46363.0,7190.0,0164572000,11656.0,IDF,4466.0
34,LIFE,pro,2017,8376.0,13990.0,0635596001,13611.0,IDF,-379.0
35,LIFE,pro,2015,16461.0,9200.0,0146675680,11656.0,IDF,2456.0
36,LIFE,pro,2015,11326.0,9400.0,0146675680,11656.0,IDF,2256.0
37,INTENS,pro,2015,71609.0,8290.0,0146675680,11656.0,IDF,3366.0
38,INTENS,pro,2018,1000.0,17990.0,0161123085,,IDF,
39,INTENS,pro,2014,59257.0,9480.0,0178769522,9768.0,IDF,288.0
40,INTENS,pro,2014,37120.0,10480.0,0178769523,9768.0,IDF,-712.0
41,LIFE,pro,2017,8376.0,13990.0,0161123085,13611.0,IDF,-379.0
42,INTENS,pro,2016,24932.0,10600.0,0175448159,12652.0,IDF,2052.0
43,INTENS,pro,2015,40009.0,9000.0,0175448159,11656.0,IDF,2656.0
44,LIFE,pro,2014,46678.0,6980.0,0149856970,9768.0,IDF,2788.0
45,INTENS,pro,2013,6399.0,9800.0,0175448159,8851.0,IDF,-949.0
46,LIFE,pro,2014,22654.0,7990.0,0169799982,9768.0,IDF,1778.0
47,LIFE,pro,2017,100.0,11990.0,0161123085,13611.0,IDF,1621.0
48,LIFE,pro,2015,45800.0,8600.0,0160926972,11656.0,IDF,3056.0
49,INTENS,pro,2014,36190.0,8490.0,0175448164,9768.0,IDF,1278.0
50,INTENS,pro,2014,36190.0,8490.0,0169799982,9768.0,IDF,1278.0
51,LIFE,pro,2014,46160.0,8200.0,0185470460,9768.0,IDF,1568.0
52,LIFE,pro,2014,17620.0,9480.0,0175834054,9768.0,IDF,288.0
53,LIFE,pro,2014,22654.0,7990.0,0175448164,9768.0,IDF,1778.0
54,LIFE,pro,2014,36863.0,7900.0,,9768.0,IDF,1868.0
55,INTENS,pro,2014,35034.0,9900.0,0160058702,9768.0,IDF,-132.0
56,INTENS,pro,2015,28240.0,9800.0,0160058702,11656.0,IDF,1856.0
57,ZEN,pro,2015,12063.0,10100.0,0175909581,11656.0,IDF,1556.0
58,ZEN,pro,2015,26333.0,9490.0,0805805802,11656.0,IDF,2166.0
59,INTENS,pro,2015,25047.0,11490.0,0171802000,11656.0,IDF,166.0
60,LIFE,pro,2017,13499.0,12980.0,0805805802,13611.0,IDF,631.0
61,LIFE,pro,2015,16182.0,10690.0,0175448151,11656.0,IDF,966.0
